Mount,MaxTS,avg.bright,hue,chrom,,SongStimulus,Pulses,Fast_RL,Norm_RL,Norm_Tmp,Fast_Tmp,PercChange,Long Filename,Filename
1,85,42.9279246,616.139,0.37045442,,PB-(1),12,0.3329,0.3829,31.3397754,36.04686092,0.150195254,(1 fast)MRW01174-MakeBel-#32-RY-__4112s.wav,MRW01174-MakeBel-#32-RY-__4112s.wav
2,85,24.6582735,660.109,0.48553504,,PB-(2),10,0.2868,0.3286,30.43213634,34.86750349,0.145746165,(2 fast)MRW01174-MakeBel#42-2-1.wav,MRW01174-MakeBel#42-2-1.wav
3,97,27.0069508,666.801667,0.44796677,,PB-(3),11,0.2916,0.3345,32.88490284,37.72290809,0.147119342,(3 fast) MRW01440-Cook#5-PkPkHP_938s.wav,MRW01440-Cook#5-PkPkHP_938s.wav
,,,,,,PB-(4),9,0.2623,0.3018,29.82107356,34.31185665,0.150590926,(4 fast) MRW01260-COSky-#8_952s.wav,MRW01260-COSky-#8_952s.wav
,,,,,,PB-(5),10,0.2641,0.3038,32.91639236,37.86444529,0.150321848,(5 fast) MRW01798-Aut Hill-#76-YRdkB_4040s.wav,MRW01798-Aut Hill-#76-YRdkB_4040s.wav
,,,,,,PB-(7),8,0.2218,0.2554,31.32341425,36.06853021,0.151487827,(7 fast) MRW01148-MakeBel#34-R_R_3440s.wav,MRW01148-MakeBel#34-R_R_3440s.wav
,,,,,,PB-01,10,0.2775,0.3185,31.39717425,36.03603604,0.147747748,01-fast-MRW01068-MakeBel-#44or19_1892s.wav,MRW01068-MakeBel-#44or19_1892s.wav
,,,,,,PB-02,10,0.2866,0.331,30.21148036,34.89183531,0.154919749,02-fast-MRW01148-MakeBel-#27-BYHP_557s.wav,MRW01148-MakeBel-#27-BYHP_557s.wav
,,,,,,PB-03,10,0.2662,0.3052,32.76539974,37.56574005,0.146506386,03-fast-MRW01148-MakeBel#31_Pk_DkBl_4007s.wav,MRW01148-MakeBel#31_Pk_DkBl_4007s.wav
,,,,,,PB-04,11,0.2892,0.329,33.43465046,38.03596127,0.137621024,04-fast-MRW01174-MakeBel-#15-RPurLav_1459s.wav,MRW01174-MakeBel-#15-RPurLav_1459s.wav
,,,,,,PB-05,12,0.3228,0.3721,32.24939532,37.17472119,0.152726146,05-fast-MRW01185-COSky-#7-PurPurLav_1453s.wav,MRW01185-COSky-#7-PurPurLav_1453s.wav
,,,,,,PB-06,9,0.2689,0.312,28.84615385,33.46969134,0.160282633,06-fast-MRW01229-Hayes-#4 (one of)_723s.wav,MRW01229-Hayes-#4 (one of)_723s.wav
,,,,,,PB-07,10,0.2596,0.2993,33.41129302,38.52080123,0.152927581,07-fast-MRW01260-COSky-#11_13943s.wav,MRW01260-COSky-#11_13943s.wav
,,,,,,PB-08,9,0.2405,0.2784,32.32758621,37.42203742,0.157588358,08-fast-MRW01369-CO Sky-#16-LtBRW_2977s.wav,MRW01369-CO Sky-#16-LtBRW_2977s.wav
,,,,,,PB-09,9,0.2616,0.3041,29.59552779,34.40366972,0.162461774,09-fast-MRW01369-COSky-#15-UNB_6299s.wav,MRW01369-COSky-#15-UNB_6299s.wav
,,,,,,PB-10,10,0.2604,0.2997,33.36670003,38.40245776,0.150921659,10-fast-MRW01412-Schaap's-UNB_9310s.wav,MRW01412-Schaap's-UNB_9310s.wav
,,,,,,PB-11,11,0.3045,0.3496,31.46453089,36.12479475,0.148111658,11-fast-MRW01532-Fisher-(R_G_-)_504s.wav,MRW01532-Fisher-(R_G_-)_504s.wav
,,,,,,PB-12,12,0.3322,0.3844,31.21748179,36.12281758,0.157134256,12-fast-MRW01620-Schaaps #21-LtBLtBDkB_715s.wav,MRW01620-Schaaps #21-LtBLtBDkB_715s.wav
,,,,,,PB-13,12,0.3404,0.392,30.6122449,35.25264395,0.151586369,13-fast-MRW01620-Schaaps-Green CB (dk M)_7145s.wav,MRW01620-Schaaps-Green CB (dk M)_7145s.wav
,,,,,,PB-14,11,0.3036,0.3504,31.39269406,36.23188406,0.154150198,14-fast-MRW01637-Schaaps #52-14-1.wav,MRW01637-Schaaps #52-14-1.wav
,,,,,,PB-15,7,0.197,0.2261,30.95975232,35.53299492,0.147715736,15-fast-MRW01731-Grizz-#6-LtBYG_6534s.wav,MRW01731-Grizz-#6-LtBYG_6534s.wav
,,,,,,PB-16,9,0.2553,0.2947,30.53953173,35.25264395,0.154328241,16-fast-MRW01731-Grizz-#62-YYDkB_6766s.wav,MRW01731-Grizz-#62-YYDkB_6766s.wav
,,,,,,PB-17,7,0.2244,0.2557,27.37583105,31.1942959,0.139483066,17-fast-MRW01731-Grizz-RGG_8569s.wav,MRW01731-Grizz-RGG_8569s.wav
,,,,,,PB-18,12,0.3434,0.3934,30.50330452,34.94467094,0.145602796,18-fast-MRW01754-AutHill-#17-05_6429s.wav,MRW01754-AutHill-#17-05_6429s.wav
,,,,,,PB-19,8,0.1952,0.2242,35.6824264,40.98360656,0.148565574,19-fast-MRW01754-AutHill-#19-09_7614s.wav,MRW01754-AutHill-#19-09_7614s.wav
,,,,,,PB-20,11,0.3543,0.4071,27.02038811,31.0471352,0.149026249,20-fast-MRW01821-Grizz-UNB_6797s.wav,MRW01821-Grizz-UNB_6797s.wav
,,,,,,PB-21,12,0.3171,0.3661,32.77792953,37.84295175,0.154525386,21-fast-MRW01836-Grizz-#51-YPurY_1662s.wav,MRW01836-Grizz-#51-YPurY_1662s.wav